source_file,output_file,input_rows,output_rows,rows_removed,columns
preprocessed files/raw/P01_PLAY.csv,trucate_files/raw/P01_PLAY.csv,7695,6284,1411,6
preprocessed files/raw/P02_PLAY.csv,trucate_files/raw/P02_PLAY.csv,9036,6284,2752,6
preprocessed files/raw/P03_PLAY.csv,trucate_files/raw/P03_PLAY.csv,8545,6284,2261,6
preprocessed files/raw/P04_PLAY.csv,trucate_files/raw/P04_PLAY.csv,8557,6284,2273,6
preprocessed files/raw/P05_PLAY.csv,trucate_files/raw/P05_PLAY.csv,9180,6284,2896,6
preprocessed files/raw/P06_PLAY.csv,trucate_files/raw/P06_PLAY.csv,8291,6284,2007,6
preprocessed files/raw/P07_PLAY.csv,trucate_files/raw/P07_PLAY.csv,8968,6284,2684,6
preprocessed files/raw/P08_PLAY.csv,trucate_files/raw/P08_PLAY.csv,8926,6284,2642,6
preprocessed files/raw/P09_PLAY.csv,trucate_files/raw/P09_PLAY.csv,8952,6284,2668,6
preprocessed files/raw/P10_PLAY.csv,trucate_files/raw/P10_PLAY.csv,7492,6284,1208,6
preprocessed files/raw/P11_PLAY.csv,trucate_files/raw/P11_PLAY.csv,8794,6284,2510,6
preprocessed files/raw/P12_READ.csv,trucate_files/raw/P12_READ.csv,8666,6284,2382,6
preprocessed files/raw/P13_PLAY.csv,trucate_files/raw/P13_PLAY.csv,9859,6284,3575,6
preprocessed files/raw/P14_PLAY.csv,trucate_files/raw/P14_PLAY.csv,8976,6284,2692,6
preprocessed files/raw/P15_PLAY.csv,trucate_files/raw/P15_PLAY.csv,8611,6284,2327,6
preprocessed files/raw/P16_PLAY.csv,trucate_files/raw/P16_PLAY.csv,9936,6284,3652,6
preprocessed files/raw/P17_PLAY.csv,trucate_files/raw/P17_PLAY.csv,7345,6284,1061,6
preprocessed files/raw/P18_PLAY.csv,trucate_files/raw/P18_PLAY.csv,6314,6284,30,6
preprocessed files/raw/P19_PLAY.csv,trucate_files/raw/P19_PLAY.csv,8012,6284,1728,6
preprocessed files/raw/P20_PLAY.csv,trucate_files/raw/P20_PLAY.csv,10267,6284,3983,6
preprocessed files/raw/P21_PLAY.csv,trucate_files/raw/P21_PLAY.csv,8845,6284,2561,6
preprocessed files/raw/P22_PLAY.csv,trucate_files/raw/P22_PLAY.csv,10016,6284,3732,6
preprocessed files/raw/P23_PLAY.csv,trucate_files/raw/P23_PLAY.csv,9054,6284,2770,6
preprocessed files/raw/P24_PLAY.csv,trucate_files/raw/P24_PLAY.csv,9277,6284,2993,6
preprocessed files/cluster_means/cluster_0_mean_processed.csv,trucate_files/cluster_means/cluster_0_mean_processed.csv,9294,6284,3010,5
preprocessed files/cluster_means/cluster_1_mean_processed.csv,trucate_files/cluster_means/cluster_1_mean_processed.csv,9505,6284,3221,5
preprocessed files/cluster_means/cluster_2_mean_processed.csv,trucate_files/cluster_means/cluster_2_mean_processed.csv,9677,6284,3393,5
preprocessed files/cluster_means/cluster_3_mean_processed.csv,trucate_files/cluster_means/cluster_3_mean_processed.csv,9366,6284,3082,5
preprocessed files/results/adaptive_fc_actual_vs_predicted_validated.csv,trucate_files/results/adaptive_fc_actual_vs_predicted_validated.csv,9369,6284,3085,6
preprocessed files/results/fkf_actual_vs_predicted_validated.csv,trucate_files/results/fkf_actual_vs_predicted_validated.csv,6745,6284,461,7
preprocessed files/results/stare_no_fc_actual_vs_predicted_validated.csv,trucate_files/results/stare_no_fc_actual_vs_predicted_validated.csv,6284,6284,0,5
preprocessed files/combined_dataset_processed.csv,trucate_files/combined_dataset_processed.csv,209614,6284,203330,6
preprocessed files/features/gaze_features_processed.csv,trucate_files/features/gaze_features_processed.csv,9293,6284,3009,29
